Date,Year,Month,Open Clear Water,Turbid Water,Submerged Aquatic Veg.,Emergent / Floating Veg.,Moist / Waterlogged Soil,Non-wetland
2018-01-15,2018,Jan,32.1,10.2,5.3,18.0,9.1,25.4
2018-02-15,2018,Feb,29.7,8.4,4.6,20.8,11.7,24.7
2018-03-15,2018,Mar,27.6,9.3,1.3,22.0,9.5,30.3
2018-04-15,2018,Apr,23.8,9.5,3.4,25.0,6.5,31.8
2018-05-15,2018,May,20.0,5.2,4.1,22.9,10.5,37.4
2018-06-15,2018,Jun,13.7,11.5,3.2,18.3,15.1,38.2
2018-07-15,2018,Jul,23.4,16.0,0.0,10.8,16.6,33.2
2018-08-15,2018,Aug,31.3,19.6,1.3,7.9,12.7,27.1
2018-09-15,2018,Sep,41.3,16.0,1.6,10.6,8.3,22.1
2018-10-15,2018,Oct,39.0,14.4,4.0,10.2,9.5,23.0
2018-11-15,2018,Nov,35.0,8.7,7.2,15.5,10.6,22.9
2018-12-15,2018,Dec,36.0,11.9,5.0,17.9,9.4,19.8
2019-01-15,2019,Jan,32.2,10.0,3.2,18.3,10.4,25.9
2019-02-15,2019,Feb,31.4,8.7,5.8,20.7,8.5,24.9
2019-03-15,2019,Mar,28.3,8.8,2.4,22.6,7.7,30.2
2019-04-15,2019,Apr,25.7,7.5,1.0,25.5,5.1,35.1
2019-05-15,2019,May,20.0,9.0,3.6,21.0,8.5,37.9
2019-06-15,2019,Jun,14.6,13.1,1.7,18.0,14.7,37.9
2019-07-15,2019,Jul,22.4,18.6,2.3,12.5,13.3,30.9
2019-08-15,2019,Aug,30.8,21.9,5.1,6.1,12.7,23.4
2019-09-15,2019,Sep,40.6,18.0,1.8,8.6,5.5,25.4
2019-10-15,2019,Oct,37.8,15.7,4.1,10.8,9.2,22.4
2019-11-15,2019,Nov,36.2,10.9,6.2,16.3,7.7,22.7
2019-12-15,2019,Dec,33.3,11.7,6.6,17.0,11.0,20.5
2020-01-15,2020,Jan,30.9,7.9,4.9,17.2,11.4,27.7
2020-02-15,2020,Feb,28.6,8.9,5.2,19.6,8.9,28.7
2020-03-15,2020,Mar,28.0,11.1,3.7,22.2,8.5,26.4
2020-04-15,2020,Apr,24.3,7.2,4.8,24.1,9.4,30.2
2020-05-15,2020,May,21.2,5.3,3.1,21.5,11.1,37.7
2020-06-15,2020,Jun,15.0,12.5,2.8,18.0,15.4,36.4
2020-07-15,2020,Jul,20.9,20.0,0.3,13.7,15.2,29.8
2020-08-15,2020,Aug,29.5,19.8,0.2,9.0,14.3,27.2
2020-09-15,2020,Sep,40.3,18.2,5.2,8.8,6.3,21.2
2020-10-15,2020,Oct,39.8,13.7,4.4,11.7,9.7,20.8
2020-11-15,2020,Nov,36.8,8.7,6.7,13.4,10.1,24.3
2020-12-15,2020,Dec,32.4,11.7,5.8,17.8,10.9,21.3
2021-01-15,2021,Jan,32.1,8.6,4.4,20.3,8.6,26.0
2021-02-15,2021,Feb,31.1,9.0,6.3,20.7,10.1,22.8
2021-03-15,2021,Mar,26.7,9.6,5.1,21.0,7.2,30.5
2021-04-15,2021,Apr,22.4,7.1,4.3,23.3,10.0,33.0
2021-05-15,2021,May,19.8,7.6,3.6,23.8,8.1,37.2
2021-06-15,2021,Jun,13.7,12.6,4.8,18.4,13.9,36.7
2021-07-15,2021,Jul,19.5,21.0,2.0,12.0,16.0,29.5
2021-08-15,2021,Aug,32.6,21.1,0.0,8.4,10.6,27.3
2021-09-15,2021,Sep,38.1,18.5,1.9,7.7,10.1,23.7
2021-10-15,2021,Oct,38.1,13.7,2.0,13.0,10.0,23.2
2021-11-15,2021,Nov,36.8,11.7,1.2,16.9,8.9,24.5
2021-12-15,2021,Dec,33.1,8.8,5.2,17.4,11.2,24.3
2022-01-15,2022,Jan,30.2,11.9,4.3,16.6,11.5,25.6
2022-02-15,2022,Feb,30.2,11.1,4.8,20.8,7.8,25.2
2022-03-15,2022,Mar,25.0,9.2,4.8,22.6,9.9,28.5
2022-04-15,2022,Apr,25.9,7.0,4.1,22.1,10.1,30.7
2022-05-15,2022,May,21.5,6.1,1.6,22.8,10.4,37.6
2022-06-15,2022,Jun,15.3,13.5,2.5,19.7,13.9,35.2
2022-07-15,2022,Jul,22.3,18.2,0.7,11.2,18.3,29.3
2022-08-15,2022,Aug,29.7,21.8,3.3,7.6,11.5,26.1
2022-09-15,2022,Sep,42.1,18.3,1.9,6.7,7.4,23.6
2022-10-15,2022,Oct,38.7,12.7,6.0,12.8,6.1,23.6
2022-11-15,2022,Nov,35.6,10.9,8.3,13.1,9.0,23.2
2022-12-15,2022,Dec,33.6,12.1,5.5,15.1,12.1,21.6
